サイト,市町,種別,種別根拠,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),種別上限(万円),地目,都市計画,接道,建築可否,建築可否理由,属人性,検出日,フラグ,詳細URL,判定
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市古奈 (伊豆長岡駅),800,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-26,,https://www.homes.co.jp/tochi/b-33303690000038/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山山木 (熱海駅),300,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-26,注意:別荘地,https://www.homes.co.jp/tochi/b-33303660001115/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市四日町 (韮山駅),1190,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-03,,https://www.homes.co.jp/tochi/b-33324250000158/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市四日町 (韮山駅),1300,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-07,,https://www.homes.co.jp/tochi/b-33319390000005/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷小松ケ原,680,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-07,,https://www.homes.co.jp/tochi/b-33311850000189/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷 (函南駅),50,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-08,,https://www.homes.co.jp/tochi/b-1546940000043/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山多田富士見ニュータウン (韮山駅),100,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-08,注意:別荘地 NG:富士見ニュータウン,https://www.homes.co.jp/tochi/b-1546940000015/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市三福 (田京駅),250,,,1500,田,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-15,,https://www.homes.co.jp/tochi/b-33315810000525/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷小松ケ原,100,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-13,注意:別荘地,https://www.homes.co.jp/tochi/b-33303660000686/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市古奈 (伊豆長岡駅),2480,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-10,注意:温泉,https://www.homes.co.jp/tochi/b-33301530000065/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市北江間 (伊豆箱根バス),850,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-10,,https://www.homes.co.jp/tochi/b-33332300000036/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山多田富士見ニュータウン,100,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-10,NG:富士見ニュータウン,https://www.homes.co.jp/tochi/b-33308270000285/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市南江間 (韮山駅),750,,,1500,—,市街化調整区域,,△,調整区域の建替えは既存宅地要件等の確認が必要＝本命候補,,2026-07-13,関心:市街化調整区域/調整区域,https://www.homes.co.jp/tochi/b-33317490000136/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市韮山韮山 (韮山駅),1850,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-13,,https://www.homes.co.jp/tochi/b-33317490000142/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市御門 (田京駅),1280,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-10,,https://www.homes.co.jp/tochi/b-39046610000081/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市大仁 (大仁駅),1350,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-13,,https://www.homes.co.jp/tochi/b-33313200000024/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市大仁 (大仁駅),1480,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-13,,https://www.homes.co.jp/tochi/b-33318410000042/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市長岡 (伊豆長岡駅),1150,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-13,注意:温泉,https://www.homes.co.jp/tochi/b-39046610000078/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷 (熱海駅),50,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-15,,https://www.homes.co.jp/tochi/b-37070020003430/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市奈古谷 (熱海駅),780,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-15,,https://www.homes.co.jp/tochi/b-33303660001124/,数値不明
SUUMO 中古戸建 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市吉田,1750,422.4,13.7,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-14,,https://suumo.jp/chukoikkodate/shizuoka/sc_izunokuni/nc_21007309/,不適合
