サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下土狩字荻素950-5、950-13、950-31、950-32,3180,176.3,59.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78909887/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下土狩字宮脇476番9,5980,275.1,71.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_74660221/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下土狩字焼原891-5、891-25,5980,311.4,63.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_76475811/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町上長窪,1380,155.0,29.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78719754/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町下土狩,3200,169.8,62.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20445599/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,700,118.5,19.5,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_79047270/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町長沢,700,83.9,27.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_77344884/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町竹原179-20,800,91.5,28.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_94285170/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町竹原,800,91.5,28.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20635006/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町竹原,800,70.5,37.5,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_79047271/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1050,183.0,19.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_76677460/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡長泉町東野,1100,1272.2,2.9,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_79215406/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1280,140.0,30.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20103659/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1390,254.0,18.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_76714076/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉,1390,254.0,18.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_78716183/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町長沢,1400,160.2,28.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_74409114/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉854,1480,189.8,25.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_77548585/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町徳倉891-8,1490,133.5,36.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_77733545/,不適合
SUUMO 土地 駿東郡（清水町・長泉町を内包）,静岡県駿東郡清水町長沢,1600,160.6,32.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_suntogun/nc_20699654/,不適合
